id,zip_code,pref_kana,city_kana,section_kana,pref,city,section
1,0600000,ホッカイドウ,サッポロシチュウオウク,イカニケイサイガナイバアイ,北海道,札幌市中央区,以下に掲載がない場合
2,0640941,ホッカイドウ,サッポロシチュウオウク,アサヒガオカ,北海道,札幌市中央区,旭ケ丘
3,0600041,ホッカイドウ,サッポロシチュウオウク,オオドオリヒガシ,北海道,札幌市中央区,大通東
4,0600042,ホッカイドウ,サッポロシチュウオウク,オオドオリニシ（１−１９チョウメ）,北海道,札幌市中央区,大通西（１〜１９丁目）
5,0640820,ホッカイドウ,サッポロシチュウオウク,オオドオリニシ（２０−２８チョウメ）,北海道,札幌市中央区,大通西（２０〜２８丁目）
6,0600031,ホッカイドウ,サッポロシチュウオウク,キタ１ジョウヒガシ,北海道,札幌市中央区,北一条東
7,0600001,ホッカイドウ,サッポロシチュウオウク,キタ１ジョウニシ（１−１９チョウメ）,北海道,札幌市中央区,北一条西（１〜１９丁目）
8,0640821,ホッカイドウ,サッポロシチュウオウク,キタ１ジョウニシ（２０−２８チョウメ）,北海道,札幌市中央区,北一条西（２０〜２８丁目）
9,0600032,ホッカイドウ,サッポロシチュウオウク,キタ２ジョウヒガシ,北海道,札幌市中央区,北二条東
10,0600002,ホッカイドウ,サッポロシチュウオウク,キタ２ジョウニシ（１−１９チョウメ）,北海道,札幌市中央区,北二条西（１〜１９丁目）
11,0640822,ホッカイドウ,サッポロシチュウオウク,キタ２ジョウニシ（２０−２８チョウメ）,北海道,札幌市中央区,北二条西（２０〜２８丁目）
12,0600033,ホッカイドウ,サッポロシチュウオウク,キタ３ジョウヒガシ,北海道,札幌市中央区,北三条東
13,0600003,ホッカイドウ,サッポロシチュウオウク,キタ３ジョウニシ（１−１９チョウメ）,北海道,札幌市中央区,北三条西（１〜１９丁目）
14,0640823,ホッカイドウ,サッポロシチュウオウク,キタ３ジョウニシ（２０−３０チョウメ）,北海道,札幌市中央区,北三条西（２０〜３０丁目）
15,0600034,ホッカイドウ,サッポロシチュウオウク,キタ４ジョウヒガシ（１−８チョウメ）,北海道,札幌市中央区,北四条東（１〜８丁目）
